priorytet;rodzina;model_podpis;liczba_rekordow;status;kandydaci_id_model;proponowany_id_model;brakujace_pola_modelu;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_uzytkownika;uwagi_uzytkownika
WYSOKI;RICOH;MP 201;103;decyzja_duplikat;342(3/4) | 612(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IM 350;94;decyzja_duplikat;458(3/4) | 576(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IMC 300;79;decyzja_duplikat;30002496(3/4) | 30002503(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;DSM 622;74;decyzja_duplikat;325(4/4) | 334(2/4) | 559(2/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2510;69;jednoznaczny_niepelny;349(3/4);349;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=349 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 349: PLIK;;
SREDNI;RICOH;MP 305+;67;decyzja_duplikat;374(4/4) | 592(4/4) | 473(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2550;63;jednoznaczny_niepelny;350(3/4);350;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=350 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 350: RODZAJ;;
SREDNI;RICOH;MPC 2800;51;decyzja_duplikat;386(3/4) | 627(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 4503;50;decyzja_duplikat;631(4/4) | 400(3/4) | 604(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IMC 4500;47;decyzja_duplikat;538(4/4) | 30002491(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2554;47;decyzja_duplikat;352(4/4) | 590(4/4) | 616(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 2503;46;decyzja_duplikat;384(3/4) | 626(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;EPSON;WF-6590;43;jednoznaczny_niepelny;90(3/4);90;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=90 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 90: PLIK;;
SREDNI;KONICA MINOLTA;C 25;39;decyzja_duplikat;251(3/4) | 550(2/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2501;38;decyzja_duplikat;588(4/4) | 614(3/4) | 348(2/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 3055;38;decyzja_duplikat;356(4/4) | 544(4/4) | 30002499(2/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 3004ex;37;decyzja_duplikat;601(4/4) | 629(4/4) | 391(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;EPSON;WF-C869R;34;jednoznaczny_niepelny;96(3/4);96;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=96 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 96: PLIK;;
SREDNI;RICOH;2205;34;jednoznaczny_niepelny;304(3/4);304;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=304 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 304: PLIK;;
SREDNI;RICOH;P 501;33;jednoznaczny_niepelny;547(3/4);547;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=547 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 547: PLIK;;
SREDNI;RICOH;MPC 3002;30;decyzja_duplikat;488(3/4) | 605(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 2050;27;decyzja_duplikat;381(4/4) | 625(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IMC 3500;26;decyzja_duplikat;582(4/4) | 30002507(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 3000;26;jednoznaczny_niepelny;387(3/4);387;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=387 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 387: RODZAJ;;
NISKI;RICOH;MP 3350;25;decyzja_duplikat;357(4/4) | 619(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 2004;25;decyzja_duplikat;598(4/4) | 379(3/4) | 623(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IM 430;24;decyzja_duplikat;460(4/4) | 578(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IMC 400;24;decyzja_duplikat;465(3/4) | 30002502(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;DSC 332;23;jednoznaczny_niepelny;315(3/4);315;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=315 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 315: PLIK;;
NISKI;RICOH;MPC 3503;23;decyzja_duplikat;396(3/4) | 603(3/4) | 630(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 3501;22;decyzja_duplikat;490(3/4) | 30002494(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;EPSON;WF-8590DWF;21;jednoznaczny_niepelny;91(3/4);91;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=91 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 91: PLIK;;
NISKI;KYOCERA;ECOSYS 3055;20;jednoznaczny_niepelny;274(3/4);274;KOLOR;Moge hurtowo ustawic MASZYNA.ID_MODEL=274 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 274: KOLOR;;
NISKI;RICOH;DSM 627;19;jednoznaczny_niepelny;326(3/4);326;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=326 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 326: PLIK;;
NISKI;RICOH;6005;18;jednoznaczny_niepelny;310(3/4);310;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=310 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 310: PLIK;;
NISKI;RICOH;MP 2001;18;decyzja_duplikat;341(3/4) | 611(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;DSM 620D;16;decyzja_duplikat;324(4/4) | 140(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 2553;16;decyzja_duplikat;351(4/4) | 589(4/4) | 615(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 2555;16;decyzja_duplikat;353(4/4) | 541(4/4) | 591(4/4) | 617(4/4) | 30002509(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;1305;15;jednoznaczny_niepelny;300(3/4);300;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=300 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 300: PLIK;;
NISKI;RICOH;MP 3010;15;decyzja_duplikat;355(3/4) | 618(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;KYOCERA;P 3145;14;decyzja_duplikat;271(4/4) | 561(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 3554;14;decyzja_duplikat;593(4/4) | 476(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;P 502;14;jednoznaczny_niepelny;537(3/4);537;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=537 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 537: PLIK;;
NISKI;CANON;IR 2520;13;jednoznaczny_niepelny;33(3/4);33;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=33 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 33: PLIK;;
NISKI;RICOH;DSM 725;13;decyzja_duplikat;141(3/4) | 331(3/4);;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;DSM 632;12;jednoznaczny_niepelny;327(3/4);327;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=327 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 327: PLIK;;
NISKI;RICOH;IMC 6000;12;decyzja_duplikat;469(4/4) | 30002505(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 3352;12;decyzja_duplikat;359(4/4) | 620(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 6001;12;jednoznaczny_niepelny;366(3/4);366;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=366 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 366: PLIK;;
NISKI;RICOH;MP 4054;11;decyzja_duplikat;621(4/4) | 362(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;CANON;3525I;10;jednoznaczny_niepelny;13(3/4);13;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=13 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 13: PLIK;;
NISKI;RICOH;MP 4055;10;decyzja_duplikat;482(4/4) | 594(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 4502;10;decyzja_duplikat;573(4/4) | 497(2/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 6004;10;jednoznaczny_niepelny;535(3/4);535;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=535 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 535: PLIK;;
NISKI;KONICA MINOLTA;C 3110;9;jednoznaczny_niepelny;257(3/4);257;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=257 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 257: PLIK;;
NISKI;RICOH;DSM 645;9;jednoznaczny_niepelny;328(3/4);328;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=328 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 328: PLIK;;
NISKI;RICOH;DSM 675;9;jednoznaczny_niepelny;330(3/4);330;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=330 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 330: PLIK;;
NISKI;RICOH;IM 2702;9;jednoznaczny_niepelny;456(3/4);456;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=456 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 456: PLIK;;
NISKI;RICOH;IMC 5500;9;decyzja_duplikat;542(4/4) | 584(4/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 3502;9;jednoznaczny_niepelny;491(3/4);491;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=491 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 491: PLIK;;
NISKI;RICOH;MPC 407;9;decyzja_duplikat;496(3/4) | 607(3/4);;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;EPSON;WF-M5690DWF;8;jednoznaczny_niepelny;99(3/4);99;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=99 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 99: PLIK;;
NISKI;KYOCERA;FS-2020D;8;jednoznaczny_niepelny;276(3/4);276;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=276 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 276: PLIK;;
NISKI;RICOH;7505;8;jednoznaczny_niepelny;451(3/4);451;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=451 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 451: PLIK;;
NISKI;RICOH;MP 4000;8;jednoznaczny_niepelny;361(3/4);361;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=361 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 361: PLIK;;
NISKI;RICOH;MPC 5504;8;jednoznaczny_niepelny;501(3/4);501;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=501 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 501: RODZAJ;;
NISKI;RICOH;MPC 6003;8;decyzja_duplikat;608(4/4) | 503(3/4);;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;EPSON;WF - 5690;7;jednoznaczny_niepelny;87(3/4);87;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=87 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 87: PLIK;;
NISKI;KONICA MINOLTA;C 252;7;jednoznaczny_niepelny;253(3/4);253;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=253 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 253: PLIK;;
NISKI;KONICA MINOLTA;C 350;7;jednoznaczny_niepelny;260(3/4);260;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=260 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 260: PLIK;;
NISKI;KYOCERA;4035I-MFP;7;jednoznaczny_niepelny;523(3/4);523;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=523 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 523: PLIK;;
NISKI;RICOH;DSM 620;7;jednoznaczny_niepelny;323(3/4);323;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=323 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 323: PLIK;;
NISKI;RICOH;DSM 660;7;jednoznaczny_niepelny;329(3/4);329;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=329 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 329: PLIK;;
NISKI;RICOH;MP 4002;7;jednoznaczny_niepelny;479(3/4);479;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=479 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 479: PLIK;;
NISKI;CANON;IR 1018;6;jednoznaczny_niepelny;24(3/4);24;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=24 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 24: PLIK;;
NISKI;CANON;IR 2018;6;jednoznaczny_niepelny;29(3/4);29;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=29 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 29: PLIK;;
NISKI;CANON;IR 4570;6;jednoznaczny_niepelny;40(3/4);40;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=40 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 40: PLIK;;
NISKI;EPSON;WF-C8690 DWF;6;jednoznaczny_niepelny;95(2/4);95;KOLOR, PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=95 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 95: KOLOR, PLIK;;
NISKI;KONICA MINOLTA;C 220;6;jednoznaczny_niepelny;247(3/4);247;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=247 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 247: PLIK;;
NISKI;RICOH;DSM 730;6;jednoznaczny_niepelny;332(3/4);332;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=332 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 332: PLIK;;
NISKI;RICOH;MP 2500;6;jednoznaczny_niepelny;347(3/4);347;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=347 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 347: PLIK;;
