priorytet;rodzina;model_podpis;duplikaty_w_model;id_model_kandydaci;proponowany_id_model;score_proponowanego;braki_proponowanego;niespojnosc_rodzaj_kolor;grupa_proponowana;rodzaj_proponowany;kolor_proponowany;plik_proponowany;maszyna_lacznie;maszyna_bez_id_model;maszyna_z_id_model;magazyn_seryjny_lacznie;magazyn_seryjny_bez_id_model;status_mastera;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_kanoniczny_id_model;uzupelnij_grupa;uzupelnij_rodzaj;uzupelnij_kolor;uzupelnij_plik;uwagi_uzytkownika
SREDNI;RICOH;MPC 4503;3;631(4/4), 400(3/4), 604(3/4);631;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;50;50;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;IMC 4500;2;538(4/4), 30002491(4/4);538;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_im_c2000.png;47;47;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MP 2554;3;352(4/4), 590(4/4), 616(4/4);352;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;47;47;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MPC 2503;2;384(3/4), 626(3/4);384;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;46;46;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
SREDNI;EPSON;WF-6590;1;90(3/4);90;3/4;PLIK;;Druk;Urzadzenie wielofunkcyjne laserowe;TAK;;43;43;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=90 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 90: PLIK;;;;;;
SREDNI;RICOH;4510 DN;1;443(4/4);443;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/R_SP4510dn.jpg;42;42;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;KONICA MINOLTA;C 25;2;251(3/4), 550(2/4);251;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/konica_c25.png;39;39;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
SREDNI;KYOCERA;FS-2100;1;277(4/4);277;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/ecosys_p3055dn.jpg;38;38;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;RICOH;MP 2501;3;588(4/4), 614(3/4), 348(2/4);588;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2501.png;38;38;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MP 3055;3;356(4/4), 544(4/4), 30002499(2/4);356;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;38;38;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MPC 3004ex;3;601(4/4), 629(4/4), 391(3/4);601;4/4;;;Druk;Drukarka laserowa A3;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;37;37;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
SREDNI;RICOH;MPC 5503;1;500(4/4);500;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;37;37;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;KYOCERA;P-5536I;1;526(4/4);526;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/kyocera ecosys m 3655idn.jpg;35;35;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;EPSON;WF-C869R;1;96(3/4);96;3/4;PLIK;;Druk;urządzenie wielofunkcyjne;TAK;;34;34;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=96 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 96: PLIK;;;;;;
SREDNI;RICOH;2205;1;304(3/4);304;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;34;34;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=304 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 304: PLIK;;;;;;
SREDNI;RICOH;1805;1;30002486(4/4);30002486;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;33;33;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;RICOH;P 501;1;547(3/4);547;3/4;PLIK;;Druk;Drukarka laserowa A4;NIE;;33;33;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=547 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 547: PLIK;;;;;;
SREDNI;RICOH;MP 2851;1;354(4/4);354;4/4;;RODZAJ sugeruje kolor, KOLOR=NIE;Druk;Kserokopiarka cyfrowa A3 kolorowa;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;31;31;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=354 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 354: RODZAJ sugeruje kolor, KOLOR=NIE;;;;;;
SREDNI;RICOH;1805D;1;303(4/4);303;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;30;30;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
SREDNI;RICOH;MPC 3002;2;488(3/4), 605(3/4);488;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;30;30;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;RICOH;4510 SF;1;445(4/4);445;4/4;;;Druk;Drukarka laserowa A4;NIE;https://ksero-partner.com.pl/imgdev/R_SP4510SF.jpg;28;28;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 4504;1;498(4/4);498;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;28;28;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;KONICA MINOLTA;+C 35;1;230(4/4);230;4/4;;;Druk;Kserokopiarka cyfrowa A4;TAK;https://ksero-partner.com.pl/imgdev/konica_c25.png;27;27;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 2050;2;381(4/4), 625(4/4);381;4/4;;;Druk;Drukarka laserowa A4;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;27;27;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;IMC 3500;2;582(4/4), 30002507(4/4);582;4/4;;;Druk;Kserokopiarka cyfrowa A3 kolorowa;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_im_c2000.png;26;26;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MP 2352SP;1;371(4/4);371;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;26;26;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3000;1;387(3/4);387;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;26;26;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=387 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 387: RODZAJ;;;;;;
NISKI;RICOH;MP 3350;2;357(4/4), 619(4/4);357;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;25;25;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;MPC 2004;3;598(4/4), 379(3/4), 623(3/4);598;4/4;;;Druk;Kserokopiarka cyfrowa A4;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;25;25;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;IM 430;2;460(4/4), 578(4/4);460;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/R_IM_350.jpg;24;24;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow.;;;;;;
NISKI;RICOH;IMC 400;2;465(3/4), 30002502(3/4);465;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/R_IMC_300.jpg;24;24;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;RICOH;MP 2501SP;1;372(4/4);372;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2501.png;24;24;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3504;1;492(4/4);492;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/R_MPC3004_4504SP.jpg;24;24;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;DSC 332;1;315(3/4);315;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;TAK;;23;23;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=315 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 315: PLIK;;;;;;
NISKI;RICOH;DSM 618;1;321(4/4);321;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp2000.png;23;23;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MP 3351;1;358(4/4);358;4/4;;;Druk;Kserokopiarka cyfrowa A3;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;23;23;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3502AD;1;395(4/4);395;4/4;;;Druk;Kserokopiarka cyfrowa A3;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;23;23;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;RICOH;MPC 3503;3;396(3/4), 603(3/4), 630(3/4);396;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;23;23;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;RICOH;MPC 3501;2;490(3/4), 30002494(3/4);490;3/4;RODZAJ;;Druk;;TAK;https://ksero-partner.com.pl/imgdev/ran_ricoh_mp_c2003.png;22;22;0;0;0;wybrac_kanoniczny;Moge scalic logike na jeden rekord kanoniczny i potem hurtowo przepiac urzadzenia po Twojej decyzji.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL z grupy duplikatow. Dodatkowo trzeba domknac: RODZAJ.;;;;;;
NISKI;EPSON;WF-8590DWF;1;91(3/4);91;3/4;PLIK;;Druk;urządzenie wielofunkcyjne;TAK;;21;21;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=91 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 91: PLIK;;;;;;
NISKI;RICOH;MP 2852;1;470(4/4);470;4/4;;;Druk;Kserokopiarka cyfrowa A4;NIE;https://ksero-partner.com.pl/imgdev/R2555_3055.jpg;21;21;0;0;0;gotowy_master;Moge od razu uzywac tego ID_MODEL przy naprawie powiazan i przy automatyzacji /device.;"Brak; rekord nadaje sie na wzorzec.";;;;;;
NISKI;KYOCERA;ECOSYS 3055;1;274(3/4);274;3/4;KOLOR;;Druk;Drukarka laserowa A4;;https://ksero-partner.com.pl/imgdev/ecosys_p3055dn.jpg;20;20;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=274 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 274: KOLOR;;;;;;
NISKI;RICOH;DSM 627;1;326(3/4);326;3/4;PLIK;;Druk;Kserokopiarka cyfrowa A3;NIE;;19;19;0;0;0;uzupelnic_master;Moge uzupelnic rekord ID_MODEL=326 po podaniu brakujacych wartosci.;Potrzebuje od Ciebie brakujacych pol dla ID_MODEL 326: PLIK;;;;;;
