priorytet;rodzina;model_podpis;liczba_rekordow_maszyna;przyklady_id_ewidencja_serial;kandydaci_id_model;proponowany_id_model;status_kandydata;brakujace_pola_modelu;co_moge_wykonac_sam;czego_brakuje_od_ciebie;decyzja_id_model;uwagi_uzytkownika
WYSOKI;RICOH;MP 2000;113;6:KP/0004/06/2014:L7066501814 || 11:KP/0007/06/2014:L7086562834 || 14:KP/0008/06/2014:L7097060294;340(3/4);340;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=340 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 340: RODZAJ;;
WYSOKI;RICOH;DSM 415;108;33:KP/0023/06/2014:K2368701296 || 51:KP/0036/06/2014:K2169005823 || 52:KP/0037/06/2014:K2169004693;318(4/4) | 139(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
WYSOKI;RICOH;MP 201;103;118:KP/0093/06/2014:W3018701081 || 893:KP/0829/08/2014:W3048905335 || 914:KP/0848/09/2014:;342(3/4) | 612(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IM 350;94;4966:KP/2844:3389P701466 || 5494:KP/3271:3380PA00400 || 6523:KP/4100\EMAIL\VM:3370P400127;458(3/4) | 576(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IMC 300;79;6548:KP/4119:3930PB02158 || 7576:KP/5020/BNP/FULL:3920P400969 || 7611:KP/5043/R:3920P401044;30002496(3/4) | 30002503(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;DSM 622;74;5:KP/0003/06/2014:J8344501241 || 82:KP/0060/06/2014:J8441800329 || 101:KP/0078/06/2014:4R1714178;325(4/4) | 334(2/4) | 559(2/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2510;69;66:KP/0045/06/2014:M0974302461 || 89:KP/0067/06/2014:M0973901447 || 91:KP/0069/06/2014:M0973901547;349(3/4);349;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=349 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 349: PLIK;;
SREDNI;RICOH;MP 305+;67;2827:KP/1917:G586P400512 || 2947:KP/1931:G586P400511 || 3328:KP/2062:G586P500841;374(4/4) | 592(4/4) | 473(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2550;63;15:KP/1142:M6383800585 || 347:KP/0308/07/2014: || 351:KP/0312/07/2014:M6584301780;350(3/4);350;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=350 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 350: RODZAJ;;
SREDNI;RICOH;DSM 618D;58;87:KP/0065/06/2014:K8357210375 || 123:KP/0098/06/2014:J9246810341 || 125:KP/0100/06/2014:;322(4/4);322;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=322 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;RICOH;MPC 2800;51;1125:KP/1013:V1404101927 || 1133:KP/1023:V1494400874 || 1137:KP/1028:V1404002988;386(3/4) | 627(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 4503;50;6081:KP/3809/BNP/SRS/SMARTIT/UBEZP.:E175M630243 || 6090:KP/3810/BNP\REMOTE:E173M930479 || 6091:BKP/3811/BNP:E175MB21786;631(4/4) | 400(3/4) | 604(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;IMC 4500;47;6556:KP/4123/BNP:3120M090909 || 6557:KP/4124/BNP:3129M090910 || 7609:KP/5042/R/E:3128MC51938;538(4/4) | 30002491(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 2554;47;5724:KP/3479\EMAIL\REMOTE:G146P100655 || 5725:KP/3510\VM:G146P500932 || 2341:KP/1637\EMAIL:G145PA00912;352(4/4) | 590(4/4) | 616(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 2503;46;5721:KP/3476/BNP\EMAIL:E214RA60457 || 4207:WEKP/2480:E216R460077 || 4963:KP/2842\VM:E215J400193;384(3/4) | 626(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;EPSON;WF-6590;43;3778:KP/2359:VQJY019601 || 3870:KP/2452:VQJY019572 || 3879:EKP/2418:VQJY022640;90(3/4);90;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=90 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 90: PLIK;;
SREDNI;RICOH;4510 DN;42;4315:KP/2631\VM:T595H100468 || 4438:WEKP/2549:T576H602754 || 4483:KP/2683\VM:T574HB02359;443(4/4);443;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=443 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;KONICA MINOLTA;C 25;39;10:KP/0006/06/2014: || 19:KP/0012/06/2014:A2YF-2701 || 469:KP/0422/07/2014:A2YF121300561;251(3/4) | 550(2/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;KYOCERA;FS-2100;38;431:KP/0387/07/2014: || 437:KP/0392/07/2014:NUH3126487 || 446:KP/0399/07/2014:NUH2Z15221;277(4/4);277;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=277 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;RICOH;MP 2501;38;4204:WEKP/2479:E338M420129 || 4230:WEKP/2500\REMOTE:E338M420131 || 4387:EKP/2538:E338M720019;588(4/4) | 614(3/4) | 348(2/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MP 3055;38;3891:EKP/2420\REMOTE:C357P900887 || 4089:WEKP/2444\EMAIL:C357PA00186 || 4186:KP/2586:C358P100654;356(4/4) | 544(4/4) | 30002499(2/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 3004ex;37;4462:KP/2673:C717JA01002 || 4538:KP/2702:C718R910084 || 6621:KP/4171\EMAIL\REMOTE:C718R812654;601(4/4) | 629(4/4) | 391(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
SREDNI;RICOH;MPC 5503;37;6566:KP/4133/BNP\EMAIL\VM:E186J090920 || 6567:KP/4134/BNP\EMAIL\REMOTE:E186M090919 || 6568:KP/4135/BNP:E185J090913;500(4/4);500;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=500 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;KYOCERA;P-5536I;35;4819:WEKP/2696:R9C9305938 || 4822:WEKP/2705:R9C8Y03969 || 4823:WEKP/2706:R9C9305935;526(4/4);526;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=526 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;EPSON;WF-C869R;34;3783:WEKP/2360:X2SS001943 || 3791:WEKP/2367:X2SS002245 || 3883:EKP/2441:X2SS003182;96(3/4);96;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=96 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 96: PLIK;;
SREDNI;RICOH;2205;34;151:KP/0123/06/2014: || 266:KP/0230/06/2014:J0121000810 || 299:KP/0260/07/2014:;304(3/4);304;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=304 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 304: PLIK;;
SREDNI;RICOH;1805;33;124:KP/0099/06/2014: || 132:KP/0106/06/2014: || 148:KP/0121/06/2014:;30002486(4/4);30002486;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=30002486 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;RICOH;P 501;33;7449:KP/4899:5219PA00893 || 7450:KP/4900:5219P100904 || 7451:KP/4901:5219PC00379;547(3/4);547;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=547 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 547: PLIK;;
SREDNI;RICOH;MP 2851;31;2362:KP/1650:V8214200151 || 2363:KP/1651:V8204301322 || 2395:KP/1670:V8204301345;354(4/4);354;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=354 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;RICOH;1805D;30;127:KP/0101/06/2014: || 128:KP/0102/06/2014: || 129:KP/0103/06/2014:;303(4/4);303;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=303 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
SREDNI;RICOH;MPC 3002;30;3999:KP/2522:W492K704057 || 4075:KP/2545:W493K100463 || 4252:KP/2618:W492K702907;488(3/4) | 605(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;4510 SF;28;4303:WEKP/2526:T594HB98658 || 4358:EKP/2535:T594HA00181 || 4408:WEKP/2542:T596H889822;445(4/4);445;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=445 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 4504;28;5535:KP/3310\EMAIL\VM:C737M620453 || 5945:KP/3686:C737M620477 || 5946:KP/3687/SRS/SMARTIT/DM\REMOTE:C737M620467;498(4/4);498;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=498 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;KONICA MINOLTA;+C 35;27;906:KP/0842/08/2014: || 1327:KP/1128: || 1804:KP/1379:A121021027045;230(4/4);230;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=230 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 2050;27;421:KP/1320:V2204501979 || 483:KP/0436/07/2014:V2284802389 || 966:KP/0899/09/2014:;381(4/4) | 625(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IMC 3500;26;7595:KP/5039/R:3119R210127 || 6944:KP/4433/BNP/SRS/SmartIT/Ub:3110RB30080 || 6945:KP/4434:3110RA30189;582(4/4) | 30002507(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 2352SP;26;823:KP/0763/08/2014: || 1066:KP/0975/09/2014:W662KB00447 || 3116:KP/1972:W662KA00606;371(4/4);371;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=371 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 3000;26;90:KP/0068/06/2014:L3673901533 || 95:KP/0073/06/2014:L3773700302 || 112:KP/0088/06/2014:L3773700424;387(3/4);387;jednoznaczny_niepelny;RODZAJ;Moge hurtowo ustawic MASZYNA.ID_MODEL=387 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 387: RODZAJ;;
NISKI;RICOH;MP 3350;25;74:KP/0052/06/2014 org:M6393901369 || 341:KP/1685:M6584201163 || 490:KP/0443/07/2014:M6384601376;357(4/4) | 619(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 2004;25;5893:KP/3635\REMOTE:C767R080821 || 5894:KP/3636:C767J080829 || 6032:KP/3765:C767R080803;598(4/4) | 379(3/4) | 623(3/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IM 430;24;7550:KP/4993:3358PC02168 || 7304:KP/4749:3351PC50264 || 7231:KP/4682:3359P402786;460(4/4) | 578(4/4);;decyzja_duplikat;;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;IMC 400;24;6549:KP/4120:3910PB01708 || 7290:KP/4734/BNP/FULL:3910P700205 || 7289:KP/4730/BNP/SRS/SMARIT/Ub:3910P601178;465(3/4) | 30002502(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MP 2501SP;24;195:KP/0163/06/2014\REMOTE:E333M920382 || 426:KP/0382/07/2014:E333M721214 || 775:KP/0717/08/2014\VM:E334M121301;372(4/4);372;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=372 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 3504;24;5439:KP/3219\EMAIL\VM:G707M120718 || 6037:WKP/3770/BNP/SMARTIT:C728J080801 || 5985:WKP/3722/BNP:G706M131309;492(4/4);492;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=492 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;DSC 332;23;20:KP/0013/06/2014:K0240200891 || 93:KP/0071/06/2014:K030701736 || 105:KP/0082/06/2014:K0250100209;315(3/4);315;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=315 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 315: PLIK;;
NISKI;RICOH;DSM 618;23;130:KP/0104/06/2014: || 139:KP/0112/06/2014: || 147:KP/0120/06/2014:;321(4/4);321;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=321 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MP 3351;23;2429:KP/1692:V8314200265 || 2430:KP/1693:V8304300300 || 3210:KP/2001:V8313800646;358(4/4);358;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=358 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 3502AD;23;2494:KP/1888: || 2923:KP/1921:V9304700221 || 2931:KP/1929:000V9313801027;395(4/4);395;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=395 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;MPC 3503;23;5936:KP/3677\EMAIL\VM:E165MA30008 || 5234:WKP/3041/BNP\VM:E166M230514 || 5235:WKP/3042/BNP\VM:E165M453382;396(3/4) | 603(3/4) | 630(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;RICOH;MPC 3501;22;2929:KP/1927:V9314601444 || 3310:KP/2052\VM:V9414700002 || 3313:KP/2054:V9414700001;490(3/4) | 30002494(3/4);;decyzja_duplikat;RODZAJ;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
NISKI;EPSON;WF-8590DWF;21;3785:KP/2362:TFQY013236 || 3848:EKP/2383:TFQY012124 || 3850:EKP/2385:TFQY012123;91(3/4);91;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=91 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 91: PLIK;;
NISKI;RICOH;MP 2852;21;902:KP/0838/08/2014: || 2809:KP/1905:W672K700250 || 2810:KP/1904\VM:W672K700631;470(4/4);470;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=470 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;KYOCERA;ECOSYS 3055;20;4097:KP/2556:VLW7973956 || 4180:KP/2585\VM:VLW7Z80527 || 4393:KP/2649:VLM7Z84334;274(3/4);274;jednoznaczny_niepelny;KOLOR;Moge hurtowo ustawic MASZYNA.ID_MODEL=274 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 274: KOLOR;;
NISKI;RICOH;DSM 627;19;81:KP/0059/06/2014:4R21130034 || 155:KP/0127/06/2014: || 528:KP/0478/07/2014:J8441800165;326(3/4);326;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=326 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 326: PLIK;;
NISKI;RICOH;MP 3054;19;5431:WKP/3214/BNP:G155P901330 || 5614:KP/3381/BNP:G155P900298 || 5542:KP/3317:G155J800056;475(4/4);475;gotowy_jednoznaczny;;Moge hurtowo ustawic MASZYNA.ID_MODEL=475 dla calej sygnatury.;Wystarczy Twoje potwierdzenie, ze wskazany ID_MODEL jest poprawny.;;
NISKI;RICOH;6005;18;274:KP/0237/07/2014:K4453100092 || 285:KP/0246/07/2014:3120521 || 290:KP/0251/07/2014:7P11230061;310(3/4);310;jednoznaczny_niepelny;PLIK;Moge hurtowo ustawic MASZYNA.ID_MODEL=310 oraz uzupelnic brakujace pola w MODEL po zatwierdzeniu wartosci.;Potrzebuje od Ciebie brakujacych pol dla MODEL 310: PLIK;;
NISKI;RICOH;MP 2001;18;762:KP/0705/08/2014: || 2367:KP/1616: || 2522:KP/1744:;341(3/4) | 611(3/4);;decyzja_duplikat;PLIK;Moge hurtowo ustawic ID_MODEL po wskazaniu kanonicznego rekordu z listy kandydatow.;Potrzebuje od Ciebie wyboru jednego kanonicznego ID_MODEL dla tej sygnatury.;;
